Iter:0 train_rmse:6.178 test_loss:359.6 test_rmse:0.1114 test_acc:0.5188
Iter:24 train_rmse:4.835 test_loss:219.2 test_rmse:0.08695 test_acc:0.6245
Iter:25 train_rmse:4.811 test_loss:216.8 test_rmse:0.08648 test_acc:0.6265
Iter:26 train_rmse:4.79 test_loss:214.6 test_rmse:0.08605 test_acc:0.6284
Iter:27 train_rmse:4.763 test_loss:213.1 test_rmse:0.08573 test_acc:0.6298
Iter:28 train_rmse:4.739 test_loss:210.7 test_rmse:0.08526 test_acc:0.6318
Iter:29 train_rmse:4.717 test_loss:209.4 test_rmse:0.08499 test_acc:0.633
Iter:30 train_rmse:4.696 test_loss:207.8 test_rmse:0.08465 test_acc:0.6344
Iter:31 train_rmse:4.677 test_loss:206.0 test_rmse:0.08429 test_acc:0.636
Iter:32 train_rmse:4.666 test_loss:204.1 test_rmse:0.08391 test_acc:0.6376
Iter:33 train_rmse:4.663 test_loss:202.1 test_rmse:0.08349 test_acc:0.6394
Iter:34 train_rmse:4.668 test_loss:200.5 test_rmse:0.08314 test_acc:0.6409
Iter:35 train_rmse:4.66 test_loss:200.2 test_rmse:0.0831 test_acc:0.6411
Iter:36 train_rmse:4.632 test_loss:199.4 test_rmse:0.08293 test_acc:0.6419
Iter:37 train_rmse:4.625 test_loss:197.6 test_rmse:0.08256 test_acc:0.6435
Iter:38 train_rmse:4.607 test_loss:196.9 test_rmse:0.0824 test_acc:0.6442
Iter:39 train_rmse:4.601 test_loss:196.0 test_rmse:0.08222 test_acc:0.6449
Iter:40 train_rmse:4.591 test_loss:195.3 test_rmse:0.08206 test_acc:0.6456
Iter:41 train_rmse:4.583 test_loss:194.6 test_rmse:0.08192 test_acc:0.6462
Iter:42 train_rmse:4.575 test_loss:194.0 test_rmse:0.08179 test_acc:0.6468
Iter:43 train_rmse:4.568 test_loss:193.4 test_rmse:0.08167 test_acc:0.6473
Iter:44 train_rmse:4.561 test_loss:192.9 test_rmse:0.08156 test_acc:0.6478
Iter:45 train_rmse:4.554 test_loss:192.4 test_rmse:0.08146 test_acc:0.6482
Iter:46 train_rmse:4.548 test_loss:192.0 test_rmse:0.08136 test_acc:0.6486
Iter:47 train_rmse:4.542 test_loss:191.5 test_rmse:0.08127 test_acc:0.649
Iter:48 train_rmse:4.536 test_loss:191.1 test_rmse:0.08118 test_acc:0.6494
Iter:49 train_rmse:4.53 test_loss:190.7 test_rmse:0.0811 test_acc:0.6498
Iter:50 train_rmse:4.524 test_loss:190.4 test_rmse:0.08102 test_acc:0.6501
Iter:51 train_rmse:4.519 test_loss:190.0 test_rmse:0.08094 test_acc:0.6505
Iter:52 train_rmse:4.514 test_loss:189.7 test_rmse:0.08087 test_acc:0.6508
Iter:53 train_rmse:4.509 test_loss:189.3 test_rmse:0.0808 test_acc:0.6511
Iter:54 train_rmse:4.504 test_loss:189.0 test_rmse:0.08073 test_acc:0.6514
Iter:55 train_rmse:4.499 test_loss:188.7 test_rmse:0.08066 test_acc:0.6517
Iter:56 train_rmse:4.495 test_loss:188.4 test_rmse:0.08059 test_acc:0.652
Iter:57 train_rmse:4.49 test_loss:188.1 test_rmse:0.08052 test_acc:0.6523
Iter:58 train_rmse:4.486 test_loss:187.8 test_rmse:0.08046 test_acc:0.6525
Iter:59 train_rmse:4.482 test_loss:187.4 test_rmse:0.08039 test_acc:0.6528
Iter:60 train_rmse:4.478 test_loss:187.1 test_rmse:0.08032 test_acc:0.6531
Iter:61 train_rmse:4.473 test_loss:186.8 test_rmse:0.08024 test_acc:0.6535
Iter:62 train_rmse:4.469 test_loss:186.4 test_rmse:0.08017 test_acc:0.6538
Iter:63 train_rmse:4.464 test_loss:186.0 test_rmse:0.08009 test_acc:0.6541
Iter:64 train_rmse:4.459 test_loss:185.7 test_rmse:0.08001 test_acc:0.6545
Iter:65 train_rmse:4.454 test_loss:185.3 test_rmse:0.07993 test_acc:0.6548
Iter:66 train_rmse:4.448 test_loss:184.9 test_rmse:0.07985 test_acc:0.6552
Iter:67 train_rmse:4.443 test_loss:184.5 test_rmse:0.07976 test_acc:0.6555
Iter:68 train_rmse:4.438 test_loss:184.2 test_rmse:0.07968 test_acc:0.6559
Iter:69 train_rmse:4.432 test_loss:183.8 test_rmse:0.0796 test_acc:0.6563
Iter:70 train_rmse:4.426 test_loss:183.4 test_rmse:0.07951 test_acc:0.6566
Iter:71 train_rmse:4.421 test_loss:183.0 test_rmse:0.07942 test_acc:0.657
Iter:72 train_rmse:4.416 test_loss:182.6 test_rmse:0.07934 test_acc:0.6574
Iter:73 train_rmse:4.412 test_loss:182.2 test_rmse:0.07925 test_acc:0.6577
Iter:74 train_rmse:4.408 test_loss:181.8 test_rmse:0.07916 test_acc:0.6581
Iter:75 train_rmse:4.404 test_loss:181.4 test_rmse:0.07907 test_acc:0.6585
Iter:76 train_rmse:4.399 test_loss:180.9 test_rmse:0.07898 test_acc:0.6589
Iter:77 train_rmse:4.392 test_loss:180.6 test_rmse:0.0789 test_acc:0.6593
Iter:78 train_rmse:4.385 test_loss:180.2 test_rmse:0.07882 test_acc:0.6596
Iter:79 train_rmse:4.379 test_loss:179.9 test_rmse:0.07875 test_acc:0.6599
Iter:80 train_rmse:4.375 test_loss:179.6 test_rmse:0.07868 test_acc:0.6602
Iter:81 train_rmse:4.371 test_loss:179.3 test_rmse:0.07862 test_acc:0.6605
Iter:82 train_rmse:4.369 test_loss:179.0 test_rmse:0.07856 test_acc:0.6607
Iter:83 train_rmse:4.366 test_loss:178.8 test_rmse:0.07851 test_acc:0.661
Iter:84 train_rmse:4.363 test_loss:178.6 test_rmse:0.07846 test_acc:0.6612
Iter:85 train_rmse:4.361 test_loss:178.4 test_rmse:0.07841 test_acc:0.6614
Iter:86 train_rmse:4.358 test_loss:178.1 test_rmse:0.07836 test_acc:0.6616
Iter:87 train_rmse:4.355 test_loss:177.9 test_rmse:0.07831 test_acc:0.6618
Iter:88 train_rmse:4.353 test_loss:177.7 test_rmse:0.07826 test_acc:0.662
Iter:89 train_rmse:4.351 test_loss:177.5 test_rmse:0.07822 test_acc:0.6622
Iter:90 train_rmse:4.349 test_loss:177.3 test_rmse:0.07818 test_acc:0.6624
Iter:91 train_rmse:4.347 test_loss:177.1 test_rmse:0.07813 test_acc:0.6626
Iter:92 train_rmse:4.345 test_loss:176.9 test_rmse:0.07808 test_acc:0.6628
Iter:93 train_rmse:4.343 test_loss:176.7 test_rmse:0.07803 test_acc:0.663
Iter:94 train_rmse:4.34 test_loss:176.5 test_rmse:0.07799 test_acc:0.6632
Iter:95 train_rmse:4.337 test_loss:176.3 test_rmse:0.07795 test_acc:0.6634
Iter:96 train_rmse:4.334 test_loss:176.1 test_rmse:0.07791 test_acc:0.6635
Iter:97 train_rmse:4.33 test_loss:176.0 test_rmse:0.07788 test_acc:0.6637
Iter:98 train_rmse:4.327 test_loss:175.8 test_rmse:0.07784 test_acc:0.6638
Iter:99 train_rmse:4.323 test_loss:175.7 test_rmse:0.07781 test_acc:0.664
1278.7663714885712 s
min_rmse:4.80862892406344 min_mae:3.466623 max_acc:0.6639610528945923 r2:0.789975717663765 var:0.7961589843034744
Wall time: 21min 25s
