
Iter:0 train_rmse:5.684 test_loss:282.1 test_rmse:0.09868 test_acc:0.5738
Iter:68 train_rmse:3.936 test_loss:147.2 test_rmse:0.07122 test_acc:0.6924
Iter:69 train_rmse:3.933 test_loss:146.9 test_rmse:0.07116 test_acc:0.6927
Iter:70 train_rmse:3.93 test_loss:146.7 test_rmse:0.0711 test_acc:0.693
Iter:71 train_rmse:3.927 test_loss:146.4 test_rmse:0.07104 test_acc:0.6932
Iter:72 train_rmse:3.924 test_loss:146.2 test_rmse:0.07098 test_acc:0.6935
Iter:73 train_rmse:3.922 test_loss:146.0 test_rmse:0.07093 test_acc:0.6937
Iter:74 train_rmse:3.919 test_loss:145.7 test_rmse:0.07087 test_acc:0.6939
Iter:75 train_rmse:3.917 test_loss:145.5 test_rmse:0.07082 test_acc:0.6942
Iter:76 train_rmse:3.914 test_loss:145.3 test_rmse:0.07077 test_acc:0.6944
Iter:77 train_rmse:3.912 test_loss:145.1 test_rmse:0.07072 test_acc:0.6946
Iter:78 train_rmse:3.91 test_loss:144.9 test_rmse:0.07067 test_acc:0.6948
Iter:79 train_rmse:3.908 test_loss:144.7 test_rmse:0.07062 test_acc:0.695
Iter:80 train_rmse:3.906 test_loss:144.5 test_rmse:0.07058 test_acc:0.6952
Iter:81 train_rmse:3.904 test_loss:144.3 test_rmse:0.07053 test_acc:0.6954
Iter:82 train_rmse:3.902 test_loss:144.2 test_rmse:0.07049 test_acc:0.6956
Iter:83 train_rmse:3.9 test_loss:144.0 test_rmse:0.07045 test_acc:0.6957
Iter:84 train_rmse:3.898 test_loss:143.9 test_rmse:0.07042 test_acc:0.6959
Iter:85 train_rmse:3.896 test_loss:143.7 test_rmse:0.07038 test_acc:0.6961
Iter:86 train_rmse:3.894 test_loss:143.6 test_rmse:0.07035 test_acc:0.6962
Iter:87 train_rmse:3.892 test_loss:143.5 test_rmse:0.07032 test_acc:0.6963
Iter:88 train_rmse:3.889 test_loss:143.3 test_rmse:0.07029 test_acc:0.6965
Iter:89 train_rmse:3.887 test_loss:143.2 test_rmse:0.07026 test_acc:0.6966
Iter:90 train_rmse:3.885 test_loss:143.1 test_rmse:0.07024 test_acc:0.6967
Iter:91 train_rmse:3.883 test_loss:143.0 test_rmse:0.07021 test_acc:0.6968
Iter:92 train_rmse:3.881 test_loss:142.9 test_rmse:0.07019 test_acc:0.6969
Iter:93 train_rmse:3.879 test_loss:142.9 test_rmse:0.07017 test_acc:0.697
Iter:94 train_rmse:3.877 test_loss:142.8 test_rmse:0.07015 test_acc:0.6971
Iter:95 train_rmse:3.875 test_loss:142.7 test_rmse:0.07013 test_acc:0.6971
Iter:96 train_rmse:3.873 test_loss:142.6 test_rmse:0.07011 test_acc:0.6972
Iter:97 train_rmse:3.871 test_loss:142.6 test_rmse:0.0701 test_acc:0.6973
Iter:98 train_rmse:3.869 test_loss:142.5 test_rmse:0.07008 test_acc:0.6973
Iter:99 train_rmse:3.867 test_loss:142.4 test_rmse:0.07007 test_acc:0.6974
1380.1398985385895 s
min_rmse:4.329981833355577 min_mae:2.9179294 max_acc:0.6974101066589355 r2:0.8297061026096344 var:0.8299592286348343
Wall time: 23min 8s
